#{"t_start": 1555726407.592253, "env_id": "Catcher3d-v1"}
r,l,t,scoring_reward
38.5023,250,8795.9276,1.0
35.8827,250,8807.5398,0.0
44.1621,250,8818.9883,3.0
42.8222,250,8830.3132,2.0
40.7443,250,8841.8168,1.0
37.9987,250,8853.4171,1.0
42.9532,250,8864.963,2.0
42.523,250,8876.4,3.0
43.8761,250,8887.8956,3.0
46.2366,250,8899.4053,5.0
38.7462,250,8910.9014,1.0
36.6824,250,8922.335,0.0
40.3698,250,8933.9022,2.0
38.3191,250,8945.6382,1.0
37.5422,250,8957.1051,1.0
40.9498,250,8968.6259,2.0
37.0243,250,8980.0792,1.0
38.9041,250,8991.7045,1.0
41.5913,250,9001.546,2.0
37.4076,250,9013.8789,0.0
34.7631,250,9025.5879,0.0
39.8435,250,9037.202,1.0
38.8889,250,9048.6815,1.0
42.5746,250,9060.2256,1.0
41.9605,250,9071.774,2.0
36.4612,250,9083.135,0.0
39.0013,250,9094.7061,1.0
43.0063,250,9106.0742,2.0
43.9885,250,9117.4488,3.0
37.6596,250,9128.9439,1.0
36.0131,250,9140.3504,0.0
39.3834,250,9151.9691,2.0
